,Unnamed: 0,name,model,maker,prefix,postfix
0,0,렉스턴,렉스턴,쌍용,0,0
1,1,K7,K7,기아,0,0
2,2,투싼,투싼,현대,0,0
3,3,기아 4세대 카니발 KA4,카니발,기아,0,0
4,4,QM6,QM6,르노삼성,0,0
5,5,XM3,XM3,르노삼성,0,0
6,6,현대 ix 투싼 LM,투싼,현대,0,0
7,7,그랜저 IG,그랜저,현대,0,IG
8,8,레이,레이,기아,0,0
9,9,더뉴그랜저(IG),그랜저,현대,뉴,IG
10,10,쏘나타 dn8,쏘나타,현대,0,0
11,11,G90,G90,제네시스,0,0
12,12,기아 K5,K5,기아,0,0
13,13,제네시스 GV80 JX1,GV80,제네시스,0,0
14,14,제네시스,제네시스,현대,0,0
15,15,K5,K5,기아,0,0
17,17,팰리세이드,팰리세이드,현대,0,0
19,19,기아 어반 모닝 JA,모닝,기아,어반,JA
20,20,렉스턴스포츠,스포츠,르노,0,0
21,21,쉐보레/한국GM 트레일블레이저,트레일블레이저,쉐보레,0,0
25,25,E클래스,0,0,0,0
26,26,티볼리,티볼리,쌍용,0,0
27,27,모닝,모닝,기아,0,0
29,29,현대 투싼,투싼,현대,0,0
31,31,아반떼,아반떼,현대,0,0
32,32,현대 싼타페 DM,싼타페,현대,0,DM
35,35,트레일블레이저,트레일블레이저,쉐보레,0,0
36,36,스파크,스파크,쉐보레/한국GM,0,0
38,38,제네시스 GV80,GV80,제네시스,0,0
39,39,현대 쏘나타 LF,쏘나타,현대,0,LF
42,42,기아 트럭 3 EV 1열 봉고 PU,1열 봉고,기아,트럭 3 EV,PU
43,43,현대 더 뉴 그랜저 IG,그랜저,현대,더 뉴,IG
44,44,스타렉스,스타렉스,현대,0,0
45,45,벨로스터,벨로스터,현대,0,0
46,46,현대 올뉴 아반떼 CN7,아반떼,현대,올뉴,CN7
48,48,K3,K3,기아,0,0
50,50,올뉴카니발,카니발,기아,올뉴,0
51,51,현대 쏘나타 DN8,쏘나타,현대,0,DN8
52,52,기아 K7,K7,기아,0,0
53,53,현대 F/L 싼타페 TM,싼타페,현대,F/L,TM
54,54,뉴카니발,카니발,기아,뉴,0
56,56,쉐보레/한국GM 더뉴 스파크 M400,스파크,쉐보레/한국GM,0,M400
57,57,코나,코나,현대,0,0
59,59,쌍용 더 뷰리풀 코란도 WD,코란도,쌍용,0,0
60,60,기아 스토닉,스토닉,기아,0,0
61,61,카니발,카니발,기아,0,0
62,62,현대 싼타페 TM,싼타페,현대,0,TM
63,63,현대 그랜저 IG,그랜저,현대,0,IG
64,64,기아 셀토스 SP2,셀토스,기아,0,SP2
66,66,니로 하이브리드,니로,기아,0,0
67,67,현대 4세대 투싼 NX4,NX,렉서스,0,0
69,69,넥소,0,0,0,0
70,70,기아 더볼드 스포티지 QL,스포티지,기아,더볼드,QL
72,72,파나메라,파나메라,포르쉐,0,0
73,73,현대 그랜저,그랜저,현대,0,0
74,74,현대 더 뉴 코나 OS,코나,현대,더 뉴,OS
76,76,이쿼녹스,이쿼녹스,쉐보레/한국GM,0,0
77,77,크루즈,크루즈,홀덴,0,0
79,79,기아 쏘렌토,쏘렌토,기아,0,0
81,81,제네시스 더올뉴 G80 RG3,제네시스,현대,0,RG3
82,82,그랜드스타렉스,스타렉스,현대,0,0
83,83,520d,0,0,0,0
84,84,봉고3,0,0,0,0
87,87,말리부,말리부,쉐보레/한국GM,0,0
88,88,더뉴카니발,카니발,기아,더뉴,0
90,90,에쿠스,에쿠스,현대,0,0
91,91,G4렉스턴,렉스턴,쌍용,G4,0
93,93,기아 셀토스,셀토스,기아,0,0
95,95,쉐보레/한국GM 트랙스,트랙스,쉐보레/한국GM,0,0
96,96,티볼리에어,티볼리,쌍용,에어,0
97,97,트랙스,트랙스,쉐보레/한국GM,0,0
98,98,기아 K5 DL3 HEV,K5,기아,0,0
99,99,기아 4세대 쏘렌토 MQ4,쏘렌토,기아,4세대,MQ4
102,102,싼타페 TM,싼타페,현대,0,TM
103,103,현대 더 뉴 HEV 그랜저 IG,그랜저,현대,더 뉴 HEV,IG
104,104,현대 슈퍼캡 2 일렉트릭 1열 포터 HR,1열 포터,현대,슈퍼캡 2 일렉트릭,HR
105,105,올뉴모닝,모닝,기아,올뉴,0
107,107,카니발리무진,카니발,기아,0,0
108,108,쏘렌토,쏘렌토,기아,0,0
109,109,기아 올뉴 K3 BD,K3,기아,올뉴,BD
110,110,쉐보레/한국GM 더 뉴 말리부 V400,말리부,쉐보레/한국GM,0,0
112,112,포터2,0,0,0,0
115,115,현대 넥쏘,넥쏘,현대,0,0
116,116,티볼리아머,티볼리,쌍용,아머,0
117,117,코란도,코란도,쌍용,0,0
118,118,기아 더뉴 레이 TAM,레이,기아,더뉴,TAM
119,119,기아 레이,레이,기아,0,0
120,120,싼타페,싼타페,현대,0,0
122,122,CLA클래스,0,0,0,0
123,123,현대 1열 포터,1열 포터,현대,0,0
124,124,현대 싼타페,싼타페,현대,0,0
125,125,현대 아반떼,아반떼,현대,0,0
126,126,E220,0,0,0,0
127,127,기아 올뉴 모닝 TA,모닝,기아,올뉴,TA
128,128,BMW 3 시리즈 G20,3 시리즈,BMW,0,G20
130,130,기아 R 쏘렌토 XM,쏘렌토,기아,R,XM
133,133,아우디 A3,A3,아우디,0,0
134,134,뉴모닝,모닝,기아,뉴,0
135,135,쌍용 베리 뉴 티볼리 X110,티볼리,쌍용,0,X110
137,137,CLS클래스,0,0,0,0
138,138,기아 더 뉴 HEV 니로 DE,니로,기아,더 뉴 HEV,DE
139,139,모하비,모하비,기아,0,0
140,140,쌍용 에어 티볼리 X100,티볼리,쌍용,0,X100
141,141,ES300h,ES,렉서스,0,0
143,143,S500,0,0,0,0
146,146,현대 스타렉스,스타렉스,현대,0,0
147,147,니로,니로,기아,0,0
148,148,i30,i30,현대,0,0
149,149,SOUL,0,0,0,0
150,150,현대 코나,코나,현대,0,0
152,152,현대 팰리세이드,팰리세이드,현대,0,0
153,153,K9,K9,기아,0,0
154,154,New코란도,코란도,쌍용,0,0
155,155,제네시스 G80,제네시스,현대,0,0
157,157,현대 더블캡 2 2열 포터 HR,2열 포터,현대,더블캡 2,HR
158,158,그랜져,0,0,0,0
159,159,쏘나타,쏘나타,현대,0,0
160,160,현대 팰리세이드 LX2,팰리세이드,현대,0,0
